Date,Open,High,Low,Close,Adj Close,Volume
"May 14, 2023",4126.65,4212.91,4109.86,4191.98,4191.98,19277850000
"May 07, 2023",4136.98,4154.28,4098.92,4124.08,4124.08,18795580000
"Apr 30, 2023",4166.79,4186.92,4048.28,4136.25,4136.25,21160370000
"Apr 23, 2023",4132.07,4170.06,4049.35,4169.48,4169.48,18944960000
"Apr 16, 2023",4137.17,4169.48,4113.86,4133.52,4133.52,18104210000
"Apr 09, 2023",4085.2,4163.19,4072.55,4137.64,4137.64,17894880000
"Apr 02, 2023",4102.2,4133.13,4069.84,4105.02,4105.02,15917210000
"Mar 26, 2023",3982.93,4110.75,3951.53,4109.31,4109.31,20849370000
"Mar 19, 2023",3917.47,4039.49,3909.16,3970.99,3970.99,24375960000
"Mar 12, 2023",3835.12,3964.46,3808.86,3916.64,3916.64,33867970000
"Mar 06, 2023",4055.15,4078.49,3846.32,3861.59,3861.59,21422390000
"Feb 27, 2023",3992.36,4048.29,3928.16,4045.64,4045.64,21459460000
"Feb 20, 2023",4052.35,4052.35,3943.08,3970.04,3970.04,16031550000
"Feb 13, 2023",4096.62,4159.77,4047.95,4079.09,4079.09,19642940000
"Feb 06, 2023",4119.57,4176.54,4060.79,4090.46,4090.46,20661640000
"Jan 30, 2023",4049.27,4195.44,4015.55,4136.48,4136.48,23657120000
"Jan 23, 2023",3978.14,4094.21,3949.06,4070.56,4070.56,18707010000
"Jan 16, 2023",3999.28,4015.39,3885.54,3972.61,3972.61,16539130000
"Jan 09, 2023",3910.82,4003.95,3877.29,3999.09,3999.09,20846120000
"Jan 02, 2023",3853.29,3906.19,3794.33,3895.08,3895.08,16190230000
"Dec 26, 2022",3843.34,3858.19,3780.78,3839.5,3839.5,12097370000
"Dec 19, 2022",3853.79,3889.82,3764.49,3844.82,3844.82,18506410000
"Dec 12, 2022",3939.29,4100.96,3827.91,3852.36,3852.36,25443390000
"Dec 05, 2022",4052.02,4052.45,3918.39,3934.38,3934.38,20662410000
"Nov 28, 2022",4005.36,4100.51,3937.65,4071.7,4071.7,22280580000
"Nov 21, 2022",3956.23,4034.02,3933.34,4026.12,4026.12,12724860000
"Nov 14, 2022",3977.97,4028.84,3906.54,3965.34,3965.34,21831700000
"Nov 07, 2022",3780.71,4001.48,3744.22,3992.93,3992.93,24968840000
"Oct 30, 2022",3881.85,3911.79,3698.15,3770.55,3770.55,24226300000
"Oct 23, 2022",3762.01,3905.42,3741.65,3901.06,3901.06,23555090000
"Oct 16, 2022",3638.65,3762.79,3638.65,3752.75,3752.75,22634960000
"Oct 09, 2022",3647.51,3712.0,3491.58,3583.07,3583.07,21864890000
"Oct 02, 2022",3609.78,3806.91,3604.93,3639.66,3639.66,22948200000
"Sep 25, 2022",3682.72,3736.74,3584.13,3585.62,3585.62,24475900000
"Sep 18, 2022",3849.91,3907.07,3647.47,3693.23,3693.23,21332100000
"Sep 11, 2022",4083.67,4119.28,3837.08,3873.33,3873.33,24728470000
"Sep 04, 2022",3930.89,4076.81,3886.75,4067.36,4067.36,15886450000
"Aug 28, 2022",4034.58,4062.99,3903.65,3924.26,3924.26,19592960000
"Aug 21, 2022",4195.08,4203.04,4057.66,4057.66,4057.66,18714200000
"Aug 14, 2022",4269.37,4325.28,4218.7,4228.48,4228.48,19013350000
"Aug 07, 2022",4155.93,4280.47,4112.09,4280.15,4280.15,21098400000
"Jul 31, 2022",4112.38,4167.66,4079.81,4145.19,4145.19,21651540000
"Jul 24, 2022",3965.72,4140.15,3910.74,4130.29,4130.29,20488830000
"Jul 17, 2022",3883.79,4012.44,3818.63,3961.63,3961.63,20385270000
"Jul 10, 2022",3880.94,3880.94,3721.56,3863.16,3863.16,19693570000
"Jul 03, 2022",3792.61,3918.5,3742.06,3899.38,3899.38,17073700000
"Jun 26, 2022",3920.76,3945.86,3738.67,3825.33,3825.33,21693690000
"Jun 19, 2022",3715.31,3913.65,3715.31,3911.74,3911.74,23570150000
"Jun 12, 2022",3838.15,3838.15,3636.87,3674.84,3674.84,30486930000
"Jun 05, 2022",4134.72,4168.78,3900.16,3900.86,3900.86,21764190000
"May 29, 2022",4151.09,4177.51,4073.85,4108.54,4108.54,19471340000
