Date	Open	High	Low	Close	Adj Close	Volume
Jun 25, 2023	4,344.84	4,458.48	4,328.08	4,450.38	4,450.38	18,347,970,000
Jun 18, 2023	4,396.11	4,400.15	4,341.34	4,348.33	4,348.33	17,329,740,000
Jun 11, 2023	4,308.32	4,448.47	4,304.37	4,409.59	4,409.59	23,498,470,000
Jun 04, 2023	4,282.99	4,322.62	4,261.07	4,298.86	4,298.86	19,960,900,000
May 28, 2023	4,226.71	4,290.67	4,166.15	4,282.37	4,282.37	19,055,240,000
May 21, 2023	4,190.78	4,212.87	4,103.98	4,205.45	4,205.45	19,486,220,000
May 14, 2023	4,126.65	4,212.91	4,109.86	4,191.98	4,191.98	19,277,850,000
May 07, 2023	4,136.98	4,154.28	4,098.92	4,124.08	4,124.08	18,795,580,000
Apr 30, 2023	4,166.79	4,186.92	4,048.28	4,136.25	4,136.25	21,160,370,000
Apr 23, 2023	4,132.07	4,170.06	4,049.35	4,169.48	4,169.48	18,944,960,000
Apr 16, 2023	4,137.17	4,169.48	4,113.86	4,133.52	4,133.52	18,104,210,000
Apr 09, 2023	4,085.20	4,163.19	4,072.55	4,137.64	4,137.64	17,894,880,000
Apr 02, 2023	4,102.20	4,133.13	4,069.84	4,105.02	4,105.02	15,917,210,000
Mar 26, 2023	3,982.93	4,110.75	3,951.53	4,109.31	4,109.31	20,849,370,000
Mar 19, 2023	3,917.47	4,039.49	3,909.16	3,970.99	3,970.99	24,375,960,000
Mar 12, 2023	3,835.12	3,964.46	3,808.86	3,916.64	3,916.64	33,867,970,000
Mar 06, 2023	4,055.15	4,078.49	3,846.32	3,861.59	3,861.59	21,422,390,000
Feb 27, 2023	3,992.36	4,048.29	3,928.16	4,045.64	4,045.64	21,459,460,000
Feb 20, 2023	4,052.35	4,052.35	3,943.08	3,970.04	3,970.04	16,031,550,000
Feb 13, 2023	4,096.62	4,159.77	4,047.95	4,079.09	4,079.09	19,642,940,000
Feb 06, 2023	4,119.57	4,176.54	4,060.79	4,090.46	4,090.46	20,661,640,000
Jan 30, 2023	4,049.27	4,195.44	4,015.55	4,136.48	4,136.48	23,657,120,000
Jan 23, 2023	3,978.14	4,094.21	3,949.06	4,070.56	4,070.56	18,707,010,000
Jan 16, 2023	3,999.28	4,015.39	3,885.54	3,972.61	3,972.61	16,539,130,000
Jan 09, 2023	3,910.82	4,003.95	3,877.29	3,999.09	3,999.09	20,846,120,000
Jan 02, 2023	3,853.29	3,906.19	3,794.33	3,895.08	3,895.08	16,190,230,000
Dec 26, 2022	3,843.34	3,858.19	3,780.78	3,839.50	3,839.50	12,097,370,000
Dec 19, 2022	3,853.79	3,889.82	3,764.49	3,844.82	3,844.82	18,506,410,000
Dec 12, 2022	3,939.29	4,100.96	3,827.91	3,852.36	3,852.36	25,443,390,000
Dec 05, 2022	4,052.02	4,052.45	3,918.39	3,934.38	3,934.38	20,662,410,000
Nov 28, 2022	4,005.36	4,100.51	3,937.65	4,071.70	4,071.70	22,280,580,000
Nov 21, 2022	3,956.23	4,034.02	3,933.34	4,026.12	4,026.12	12,724,860,000
Nov 14, 2022	3,977.97	4,028.84	3,906.54	3,965.34	3,965.34	21,831,700,000
Nov 07, 2022	3,780.71	4,001.48	3,744.22	3,992.93	3,992.93	24,968,840,000
Oct 30, 2022	3,881.85	3,911.79	3,698.15	3,770.55	3,770.55	24,226,300,000
Oct 23, 2022	3,762.01	3,905.42	3,741.65	3,901.06	3,901.06	23,555,090,000
Oct 16, 2022	3,638.65	3,762.79	3,638.65	3,752.75	3,752.75	22,634,960,000
Oct 09, 2022	3,647.51	3,712.00	3,491.58	3,583.07	3,583.07	21,864,890,000
Oct 02, 2022	3,609.78	3,806.91	3,604.93	3,639.66	3,639.66	22,948,200,000
Sep 25, 2022	3,682.72	3,736.74	3,584.13	3,585.62	3,585.62	24,475,900,000
Sep 18, 2022	3,849.91	3,907.07	3,647.47	3,693.23	3,693.23	21,332,100,000
Sep 11, 2022	4,083.67	4,119.28	3,837.08	3,873.33	3,873.33	24,728,470,000
Sep 04, 2022	3,930.89	4,076.81	3,886.75	4,067.36	4,067.36	15,886,450,000
Aug 28, 2022	4,034.58	4,062.99	3,903.65	3,924.26	3,924.26	19,592,960,000
Aug 21, 2022	4,195.08	4,203.04	4,057.66	4,057.66	4,057.66	18,714,200,000
Aug 14, 2022	4,269.37	4,325.28	4,218.70	4,228.48	4,228.48	19,013,350,000
Aug 07, 2022	4,155.93	4,280.47	4,112.09	4,280.15	4,280.15	21,098,400,000
Jul 31, 2022	4,112.38	4,167.66	4,079.81	4,145.19	4,145.19	21,651,540,000
Jul 24, 2022	3,965.72	4,140.15	3,910.74	4,130.29	4,130.29	20,488,830,000
Jul 17, 2022	3,883.79	4,012.44	3,818.63	3,961.63	3,961.63	20,385,270,000
Jul 10, 2022	3,880.94	3,880.94	3,721.56	3,863.16	3,863.16	19,693,570,000
Jul 03, 2022	3,792.61	3,918.50	3,742.06	3,899.38	3,899.38	17,073,700,000
Jun 26, 2022	3,920.76	3,945.86	3,738.67	3,825.33	3,825.33	21,693,690,000
Jun 19, 2022	3,715.31	3,913.65	3,715.31	3,911.74	3,911.74	23,570,150,000
Jun 12, 2022	3,838.15	3,838.15	3,636.87	3,674.84	3,674.84	30,486,930,000
Jun 05, 2022	4,134.72	4,168.78	3,900.16	3,900.86	3,900.86	21,764,190,000
May 29, 2022	4,151.09	4,177.51	4,073.85	4,108.54	4,108.54	19,471,340,000
May 22, 2022	3,919.42	4,158.49	3,875.13	4,158.24	4,158.24	23,231,370,000
May 15, 2022	4,013.02	4,090.72	3,810.32	3,901.36	3,901.36	24,603,940,000
May 08, 2022	4,081.27	4,081.27	3,858.87	4,023.89	4,023.89	29,126,270,000
May 01, 2022	4,130.61	4,307.66	4,062.51	4,123.34	4,123.34	25,076,170,000
Apr 24, 2022	4,255.34	4,308.45	4,124.28	4,131.93	4,131.93	24,637,900,000
Apr 17, 2022	4,385.63	4,512.94	4,267.62	4,271.78	4,271.78	21,597,890,000
Apr 10, 2022	4,462.64	4,471.00	4,381.34	4,392.59	4,392.59	16,329,620,000
Apr 03, 2022	4,547.97	4,593.45	4,450.04	4,488.28	4,488.28	23,239,490,000
Mar 27, 2022	4,541.09	4,637.30	4,507.57	4,545.86	4,545.86	23,169,700,000
Mar 20, 2022	4,462.40	4,546.03	4,424.30	4,543.06	4,543.06	22,611,740,000
Mar 13, 2022	4,202.75	4,465.40	4,161.72	4,463.12	4,463.12	30,540,660,000
Mar 07, 2022	4,327.01	4,327.01	4,157.87	4,204.31	4,204.31	29,765,730,000
Feb 28, 2022	4,354.17	4,416.78	4,279.54	4,328.87	4,328.87	28,092,740,000
Feb 21, 2022	4,332.74	4,385.34	4,114.65	4,384.65	4,384.65	21,848,520,000
Feb 14, 2022	4,412.61	4,489.55	4,327.22	4,348.87	4,348.87	22,562,340,000
Feb 07, 2022	4,505.75	4,590.03	4,401.41	4,418.64	4,418.64	23,778,810,000
Jan 31, 2022	4,431.79	4,595.31	4,414.02	4,500.53	4,500.53	23,505,280,000
Jan 24, 2022	4,356.32	4,453.23	4,222.62	4,431.85	4,431.85	27,889,090,000
Jan 17, 2022	4,632.24	4,632.24	4,395.34	4,397.94	4,397.94	19,444,410,000
Jan 10, 2022	4,655.34	4,748.83	4,582.24	4,662.85	4,662.85	21,251,840,000
Jan 03, 2022	4,778.14	4,818.62	4,662.74	4,677.03	4,677.03	21,878,940,000
Dec 27, 2021	4,733.99	4,808.93	4,733.99	4,766.18	4,766.18	14,244,290,000
Dec 20, 2021	4,587.90	4,740.74	4,531.10	4,725.79	4,725.79	14,940,780,000
Dec 13, 2021	4,710.30	4,731.99	4,600.22	4,620.64	4,620.64	26,609,380,000
Dec 06, 2021	4,548.37	4,713.57	4,540.51	4,712.02	4,712.02	21,271,750,000
Nov 29, 2021	4,628.75	4,672.95	4,495.12	4,538.43	4,538.43	26,646,380,000
Nov 22, 2021	4,712.00	4,743.83	4,585.43	4,594.62	4,594.62	15,654,820,000
Nov 15, 2021	4,689.30	4,717.75	4,672.78	4,697.96	4,697.96	19,909,710,000
Nov 08, 2021	4,701.48	4,714.92	4,630.86	4,682.85	4,682.85	20,545,980,000
Oct 31, 2021	4,610.62	4,718.50	4,595.06	4,697.53	4,697.53	21,195,930,000
Oct 24, 2021	4,553.69	4,608.08	4,537.36	4,605.38	4,605.38	20,648,340,000
Oct 17, 2021	4,463.72	4,559.67	4,447.47	4,544.90	4,544.90	18,372,450,000
Oct 10, 2021	4,385.44	4,475.82	4,329.92	4,471.37	4,471.37	17,878,150,000
Oct 03, 2021	4,348.84	4,429.97	4,278.94	4,391.34	4,391.34	19,344,290,000
Sep 26, 2021	4,442.12	4,457.30	4,288.52	4,357.04	4,357.04	20,646,370,000
Sep 19, 2021	4,402.95	4,465.40	4,305.91	4,455.48	4,455.48	20,058,800,000
